platform,date,author,rating,review_text,source_url,sentiment,sentiment_reason,themes,specific_issue,feature_request,churn_risk,churn_reason,trust_break,priority,priority_reason,is_actionable,is_feature_request,is_bug_report,is_churn_signal,noise_type,support_category,competitor_mentioned,action_item,key_insight,confidence
playstore_customer,2026-05-18,Khyati Jindal,3.0,"Primary experience : Decent products, Less vareity in fresh produce, just a health filter layer on top any other e-commerce so, i would want it to have a really good filter if that is product straight away, under dibetic it suggest gluten free products. for certain type 2 dibeates , protien products are sugested diet and straight away suggesting gluten ( which is a protien ) , free is crazy will update the experience after a month",https://play.google.com/store/apps/details?id=com.firstclub.app,Mixed,"User appreciates the products but finds the health filter inaccurate, specifically mapping diabetic to gluten-free.",Selection & Discovery | UX,Health filter categorizes gluten-free products under the diabetic filter inaccurately.,Better and more accurate health filtering for dietary needs.,Medium,User is waiting a month to update experience based on product relevance.,False,P3,Incorrect health mapping degrades the core value prop of health-conscious shopping.,True,False,True,False,None,App Bug,,Audit and remap health filter tags so 'diabetic' surfaces low-GI/high-protein items rather than defaulting to gluten-free.,Inaccurate health-based categorization undermines trust in the platform's 'clean label' branding.,0.95
playstore_customer,2026-05-18,narasimhan iyengar,5.0,easy to operate application.,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,User finds the app easy to operate.,UX,,,Low,,False,P4,Generic positive feedback with no actionable gap.,False,False,False,False,None,Other,,,Simple app navigation is a key satisfaction driver.,0.9
playstore_customer,2026-05-17,vinay karthik,5.0,"fantastic loved the quality, quantity and packaging. delivery agent knew only Hindi, as a non Hindi speaker, it took extra 15 mins for the delivery. training is required for Non Hindi speaking states for delivery.",https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Loves quality and packaging but faced delivery delays due to the agent's language barrier.,Delivery & Speed | Product Quality,"Delivery agent only spoke Hindi, causing a 15-minute delay for a non-Hindi speaking customer.",Training for delivery agents in non-Hindi speaking states.,Low,,False,P3,Language barriers in last-mile delivery cause friction and SLA breaches.,True,True,False,False,None,Delivery,,Implement local-language requirement checks or basic training modules for last-mile delivery partners in specific regions.,Last-mile communication gaps directly impact delivery times in non-Hindi speaking states.,0.9
playstore_customer,2026-05-17,Chiru Gowda,5.0,"W app, really good mangoes",https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,User highly praises the app and the quality of mangoes.,Product Quality,,,Low,,False,P4,Generic positive praise.,False,False,False,False,None,Other,,,Seasonal produce like mangoes acts as a strong positive trigger for customers.,0.9
playstore_customer,2026-05-17,Ashish,1.0,They cheat by giving offers of free items on purchase of a certain amount but never delivered it even after raising 2-3 complaints....,https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,Promised free items were never delivered despite multiple complaints.,Returns & Refunds | Customer Support,Free promotional items missing from order; CS failed to resolve after 3 complaints.,,High,User feels cheated by unfulfilled marketing promises.,True,P1,Unfulfilled promises paired with repeated CS failure creates a severe trust break.,True,False,True,True,None,Returns & Refunds,,"Audit promotional fulfillment logic to ensure free items are hard-linked to the picker manifest, and escalate tickets with >2 contacts.",Marketing offers that fail at fulfillment turn potential promoters into active detractors.,0.95
playstore_customer,2026-05-17,Anees Haidary,1.0,"Ordered milk subscription for first time and milk didn't get delivered. When contacted customer care, I receive a message that my address door number is not mentioned he ce refund processed. I've been ordering from first club for veggies and fruits and it always have been delivered. How come the most essential need of milk not delivered? I want refund of my money and that's also not being processed. I want to cancel my subscription.",https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,"Milk subscription not delivered, support blamed missing door number, refund not processed.",Subscription | Delivery & Speed | Customer Support | Returns & Refunds,Subscription failed on first order; CS provided poor excuse and failed to process refund.,,High,Explicit intent to cancel subscription due to non-delivery and missing refund.,True,P1,Money trust break (no refund) + high churn intent (cancelling subscription).,True,False,False,True,None,Subscription,,"Add strict address validation (including door number) at checkout for subscriptions, and automate instant refunds for undelivered first-time subscriptions.",Failing the first order of a subscription permanently destroys the recurring revenue opportunity.,0.98
playstore_customer,2026-05-17,Krishnarao Bidikar,4.0,Authentic and genuine quality products,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Praises authentic and genuine quality products.,Product Quality,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,Perceived authenticity drives product satisfaction.,0.9
playstore_customer,2026-05-16,gokul_chowdhary,5.0,I recently saw Sunpure and saffola oils in your app? really? You are becoming the very thing you swore to destroy.,https://play.google.com/store/apps/details?id=com.firstclub.app,Mixed,"User is disappointed to see mass-market brands (Sunpure, Saffola) on a platform promising clean products.",Selection & Discovery | Product Quality,Mass-market brands listed on the app contradict the core D2C 'clean label' promise.,,Medium,Brand dilution is making the user question the platform's integrity.,True,P3,Catalog integrity issue that threatens the app's unique value proposition.,True,False,False,False,None,Product Quality,,Audit catalog and implement strict gating criteria to prevent mainstream commercial brands from diluting the premium 'clean label' category.,Listing regular mass-market brands damages the trust of users who joined specifically for curated clean products.,0.9
playstore_customer,2026-05-16,Siva Kumar Gudivada,5.0,good Quick commerce platform,https://play.google.com/store/apps/details?id=com.firstclub.app,Positive,Thinks it's a good quick commerce platform.,Delivery & Speed,,,Low,,False,P4,Generic positive feedback.,False,False,False,False,None,Other,,,App is effectively recognized within the quick commerce category.,0.9
playstore_customer,2026-05-16,Himanshu Puri,1.0,"on one hand we have cyber crime experts telling people not to click on any links coming in messages, on other hand we have applications like this which are sending referral links to people in messages. this is poor design. 16 may - add credit screen, scan or nfc option fills details. i added cvv and name. but it won't let me pay?? because the expiry date has to be added manually. poor experience again.",https://play.google.com/store/apps/details?id=com.firstclub.app,Negative,Complains about spammy SMS referral links and a bug in the credit card payment screen.,UX | App Performance | Billing,"Expiry date input in credit card form is broken/manual, preventing successful payment. SMS links are seen as a security risk.",,High,User is blocked from paying due to UI failure.,False,P2,Checkout blocking bug directly impacts revenue.,True,False,True,True,None,Billing,,Fix credit card entry form to allow seamless automatic or manual entry of the expiry date without blocking payment submission.,Payment form friction not only stops a transaction but frustrates users into leaving negative reviews.,0.95
